idx;Variable;Unit;piam_variable;piam_unit;piam_factor;piam_spatial;internal_comment;Comment;Definition;exclude_remind2_validation
20;Population|Prevalence of Overweight|Children;million;SDG|SDG03|Prevalence of overweight|Children;million;;;;;Number of overweight children (+1SD from reference BMI, aged 0–14);x
21;Population|Prevalence of Obesity;million;SDG|SDG03|Prevalence of obesity;million;;;;;Number of adults with BMI>30 and children with >2SD from reference BMI;x
22;Population|Prevalence of Obesity|Children;million;SDG|SDG03|Prevalence of obesity|Children;million;;;;;Number of obese children (+2SD from reference BMI, aged 0--14);x
23;Food|Availability;kcal/cap/day;Nutrition|Calorie Supply;kcal/capita/day;;;;;Food available for consumption per capita;x
;Food|Availability|Crops;kcal/cap/day;Nutrition|Calorie Supply|+|Crops;kcal/capita/day;;;;;Food crops available for consumption per capita;x
;Food|Availability|Livestock;kcal/cap/day;Nutrition|Calorie Supply|+|Livestock products;kcal/capita/day;;;;;Livestock products available for consumption per capita;x
;Price|Agriculture|Livestock|Index;Index (2020 = 1);Prices|Index2020|Agriculture|Food products|Livestock;1;;;;;weighted average price index of livestock products;x
24;Food Waste|Per capita;kcal/cap/day;SDG|SDG12|Food waste;kcal/cap/day;;;;;Amount of food (agriculture and livestock) per capita that is disposed and not consumed;x
25;Expenditure Share|Food;%;SDG|SDG02|Food expenditure share;income;100;;;;Share of food expenditure in total income;x
26;Agricultural Material Footprint;tDM/cap/yr;SDG|SDG12|Material footprint;tDM/capita/yr;;;;;Biomass usage per capita (excluding pasture + forestry);x
28;Ocean|pH value;-;Ocean|pH value;-;;;;;Ocean acidification: pH value;x
29;Ocean|Carbonate Saturation|Calcite;-;Ocean|Carbonate Saturation|Calcite;-;;;;;Saturation state of calcite (Omega_C);x
30;Ocean|Carbonate Saturation|Aragonite;-;Ocean|Carbonate Saturation|Aragonite;-;;;;;Saturation state of aragonite (Omega_A);x
34;Political institutions|Equality before law and individual liberty;-;Political institutions|Equality before law and individual liberty;-;;;;;aggregated ‘Equality Before the Law and Individual Liberty' index (0-1) as defined by V-DEM;x
;Useful Energy|Transportation;GJ/cap/yr;UE|per capita|Transport;GJ/cap/yr;;;;;Useful energy per capita for transport.;x
40;Land Cover|Forest|Natural Forest|Primary Forest;million ha;Resources|Land Cover|Forest|Natural Forest|+|Primary Forest;million ha;;;;;Undisturbed primary natural forests;x
41;Land Cover|Forest|Natural Forest|Secondary Forest;million ha;Resources|Land Cover|Forest|Natural Forest|+|Secondary Forest;million ha;;;;;Undisturbed primary natural forests;x
