Tier;Category;variable;unit;Definition;piam_variable;piam_unit;piam_factor;Comment;idx;internal_comment;source
3;economy;Capital Stock|Residential and Commercial;billion EUR2020/yr;end use capital in the residential & commercial sector;;;;;0;;
3;economy;Capital Stock|Residential and Commercial|Appliances and Lighting;billion EUR2020/yr;end use capital for appliances and lighting in the residential & commercial sector;;;;;0;;
3;economy;Capital Stock|Residential and Commercial|Insulation;billion EUR2020/yr;end use capital for insulation in the residential & commercial sector;;;;;0;;
3;economy;Capital Stock|Residential and Commercial|Space Cooling;billion EUR2020/yr;end use capital for space cooling in the residential & commercial sector;;;;;0;;
3;economy;Capital Stock|Residential and Commercial|Space Heating;billion EUR2020/yr;end use capital for space heating in the residential & commercial sector;;;;;0;;
3;economy;Capital Stock|Residential and Commercial|Water Heating and Cooking;billion EUR2020/yr;end use capital for water heating and cooking in the residential & commercial sector;;;;;0;;
3;economy;Capital Stock|Residential and Commercial|Water Heating and Cooking|Cooking;billion EUR2020/yr;end use capital for water heating in the residential & commercial sector;;;;;0;;
3;economy;Capital Stock|Residential and Commercial|Water Heating and Cooking|Water Heating;billion EUR2020/yr;end use capital for cooking in the residential & commercial sector;;;;;0;;
2;economy;Interest Rate|Real;%;Real interest rate or return on capital that is relevant for energy system investments;;;;;0;;
1;emissions (CO2);Emissions|CO2;Mt CO2/yr;total anthropogenic CO2 emissions, net of carbon dioxide removal, incl. LULUCF;Emi|CO2|w/o Non-energy Use|LULUCF national accounting;Mt CO2/yr;1;;0;;R
2;emissions (CO2);Emissions|CO2 incl Bunkers;Mt CO2/yr;total anthropogenic CO2 emissions, net of carbon dioxide removal, including emissions from bunkers;Emi|CO2|w/ Bunkers|w/o Non-energy Use;Mt CO2/yr;1;;0;;R
3;emissions (CO2);Emissions|CO2|Agriculture;Mt CO2/yr;CO2 emissions by agricultural sector, direct emissions from the demand-side and indirect emissions from the supply-side;;;;;0;;
2;emissions (CO2);Emissions|CO2|ESR;Mt CO2/yr;The Effort Sharing Regulation part of fossil CO2 emissions;Emi|CO2|++|ESR;Mt CO2/yr;1;;0;;R
2;emissions (CO2);Emissions|CO2|ETS;Mt CO2/yr;The Emissions Trading System part of CO2 emissions;Emi|CO2|w/o Non-energy Use|ETS;Mt CO2/yr;1;;0;;R
2;emissions (CO2);Emissions|CO2|Other regulation;Mt CO2/yr;Fossil CO2 emissions in other regulation frameworks;;;;;0;;
2;emissions (CO2);Emissions|CO2|AFOLU;Mt CO2/yr;CO2 emissions from agriculture, forestry and other land use (IPCC category 3 and 4);Emi|CO2|Land-Use Change|LULUCF national accounting;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;Fossil CO2 emissions from energy use on supply and demand side (IPCC category 1A, 1B) and from industrial processes (IPCC categories 2A, B, C, E), net of negative emissions from Bioenergy with CCS (BECCS);Emi|CO2|w/o Non-energy Use|Energy and Industrial Processes;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Industrial Processes;Mt CO2/yr;CO2 emissions from industrial processes (IPCC categories 2A, B, C, E);Emi|CO2|+|Industrial Processes;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy;Mt CO2/yr;Fossil CO2 emissions from energy use on supply and demand side (IPCC category 1A, 1B), net of negative emissions from Bioenergy with CCS (BECCS), excluding emissions from international bunkers;Emi|CO2|w/o Non-energy Use|Energy;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy incl Bunkers;Mt CO2/yr;Fossil CO2 emissions from energy use on supply and demand side (IPCC category 1A, 1B), net of negative emissions from Bioenergy with CCS (BECCS), including emissions from bunkers;Emi|CO2|w/ Bunkers|w/o Non-energy Use|Energy;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Demand;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry (IPCC category 1A2), residential, commercial, institutional sectors and agriculture, forestry, fishing (AFOFI) (IPCC category 1A4a, 1A4b, 1A4c), and transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei), net of negative emissions (incl. demand-side BECCS);Emi|CO2|w/o Non-energy Use|Energy|Demand;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Demand;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry (IPCC category 1A2), residential, commercial, institutional sectors and agriculture, forestry, fishing (AFOFI) (IPCC category 1A4a, 1A4b, 1A4c), and transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei), net of negative emissions (incl. demand-side BECCS);Emi|CO2|Energy|Supply|Electricity|Autoproducer;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy incl Bunkers|Demand;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry (IPCC category 1A2), residential, commercial, institutional sectors and agriculture, forestry, fishing (AFOFI) (IPCC category 1A4a, 1A4b, 1A4c), and transportation sector (IPCC category 1A3), including bunker emissions, excluding pipeline emissions (IPCC category 1A3ei), net of negative emissions (incl. demand-side BECCS);Emi|CO2|w/ Bunkers|w/o Non-energy Use|Energy|Demand;Mt CO2/yr;1;;0;;R
2;emissions (CO2);Emissions|CO2|Energy|Demand|AFOFI;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry (IPCC category 1A2), residential, commercial, institutional sectors and agriculture, forestry, fishing (AFOFI) (IPCC category 1A4a, 1A4b, 1A4c), and transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei);;;;;0;;
3;emissions (CO2);Emissions|CO2|Energy|Demand|Agriculture;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in agriculture (IPCC category 1A4c);;;;;0;;
1;emissions (CO2);Emissions|CO2|Energy|Demand|Industry;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry (IPCC category 1A2), incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;Emi|CO2|w/o Non-energy Use|Energy|Demand|Industry;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Demand|Industry;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry (IPCC category 1A2), incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;Emi|CO2|Energy|Supply|Electricity|Autoproducer;Mt CO2/yr;1;;0;;R
2;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|Industrial Autoproduction;Mt CO2/yr;Fossil CO2 emissions from Industrial Autoproducers;;;;;0;;
3;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|Final Energy Consumption;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry due to final energy consumption excluding industry autoproduction, excluding emissions related to feedstocks;;;;;0;;
2;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|Non-Metallic Minerals;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry in the non-metallic minerals sector, incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;Emi|CO2|Energy|Demand|Industry|++|Cement;Mt CO2/yr;1;In REMIND, energy use in the cement sector corresponds to energy use in the total non-metallic minerals sector based IEA data.;0;;R
2;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|Chemicals;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry in the chemicals sector, incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;Emi|CO2|w/o Non-energy Use|Energy|Demand|Industry|Chemicals;Mt CO2/yr;1;;0;;R
2;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|Steel;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry in the iron and steel sector, incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;Emi|CO2|Energy|Demand|Industry|++|Steel;Mt CO2/yr;1;currently includes steel energy-related and steel process emissions, hard to differentiate, also does not include additional emissions from higher blast furnace gas emissons factor as in IPCC guidelines;0;;R
2;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|other Industries;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry in other sectors (please provide a definition of these sectors in this category in the 'comments' tab), incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;Emi|CO2|Energy|Demand|Industry|++|Other Industry;Mt CO2/yr;1;Includes REMIND emissions in industry outside of steel, non-metallic minerals and chemicals sector;0;;R
2;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|Pulp and Paper;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry in the pulp and paper sector, incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;;;;;0;;
2;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|Food and Tobacco;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry in the food and tobacco sector, incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;;;;;0;;
2;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry in the non-ferrous metals sector, incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;;;;;0;;
2;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|Engineering;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry in the engineering sector, incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;;;;;0;;
2;emissions (CO2);Emissions|CO2|Energy|Demand|Industry|Vehicle Construction;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry in the vehicle construction sector, incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;;;;;0;;
1;emissions (CO2);Emissions|CO2|Energy|Demand|Residential and Commercial;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a, 1A4b);Emi|CO2|Energy|Demand|+|Buildings;Mt CO2/yr;1;;0;;R
2;emissions (CO2);Emissions|CO2|Energy|Demand|Commercial;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in commercial and institutional sectors (IPCC category 1A4a);;;;;0;;
2;emissions (CO2);Emissions|CO2|Energy|Demand|Residential;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in residential (IPCC category 1A4b);;;;;0;;
1;emissions (CO2);Emissions|CO2|Energy|Demand|Transportation;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei), excluding emissions from international bunkers (IPCC category 1A3ai and 1A3di) on sub-global level, including bunker fuels on global level;Emi|CO2|Energy|Demand|+|Transport;Mt CO2/yr;1;;0;;R
2;emissions (CO2);Emissions|CO2|Energy|Demand|Transportation|LDV;Mt CO2/yr;Fossil CO2 emissions from fuel combustion by light duty vehicles;Emi|CO2|Transport|Pass|Road|LDV|Demand;Mt CO2/yr;1;;0;;T
2;emissions (CO2);Emissions|CO2|Energy|Demand|Transportation|Truck;Mt CO2/yr;Fossil CO2 emissions from fuel combustion by trucks;Emi|CO2|Transport|Freight|Road|Demand;Mt CO2/yr;1;;0;;T
2;emissions (CO2);Emissions|CO2|Energy|Demand|Transportation|Bus;Mt CO2/yr;Fossil CO2 emissions from fuel combustion by buses;Emi|CO2|Transport|Pass|Road|Bus|Demand;Mt CO2/yr;1;;0;;T
2;emissions (CO2);Emissions|CO2|Energy|Demand|Transportation|Rail;Mt CO2/yr;Fossil CO2 emissions from fuel combustion by trains;Emi|CO2|Transport|Rail|Demand;Mt CO2/yr;1;;0;;T
2;emissions (CO2);Emissions|CO2|Energy|Demand|Transportation|Domestic Aviation;Mt CO2/yr;Fossil CO2 emissions from fuel combustion by domestic aviation;Emi|CO2|Transport|Pass|Aviation|Domestic|Demand;Mt CO2/yr;1;;0;;T
2;emissions (CO2);Emissions|CO2|Energy|Demand|Transportation|Other transport;Mt CO2/yr;Fossil CO2 emissions from fuel combustion by other transport modes;;;;;0;;
1;emissions (CO2);Emissions|CO2|Energy|Demand|Bunkers;Mt CO2/yr;Fossil CO2 emissions from fuel combustion from international bunkers (IPCC category 1A3ai and 1A3di);Emi|CO2|Energy|Demand|Transport|International Bunkers;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Demand|Bunkers|Aviation;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in transportation sector: bunkers - Aviation (IPCC category 1A3ai);Emi|CO2|Transport|Pass|Aviation|International|Demand;Mt CO2/yr;1;;0;;T
1;emissions (CO2);Emissions|CO2|Energy|Demand|Bunkers|Navigation;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in transportation sector: bunkers - Navigation (IPCC category 1A3di);Emi|CO2|Transport|Freight|International Shipping|Demand;Mt CO2/yr;1;;0;;T
1;emissions (CO2);Emissions|CO2|Energy|Demand|Other Sector;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in other energy supply sectors (please provide a definition of other sources in this category in the 'comments' tab);;;;;0;;
1;emissions (CO2);Emissions|CO2|Energy|Supply;Mt CO2/yr;Fossil CO2 emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C), net of negative emissions from Bioenergy with CCS (BECCS), exc. industrial autoproduction;Emi|CO2|Energy|+|Supply;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Supply;Mt CO2/yr;Fossil CO2 emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C), net of negative emissions from Bioenergy with CCS (BECCS), exc. industrial autoproduction;Emi|CO2|Energy|Supply|Electricity|Autoproducer;Mt CO2/yr;-1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Supply|Electricity;Mt CO2/yr;Fossil CO2 emissions from electricity and CHP production and distribution (IPCC category 1A1ai and 1A1aii), net of negative emissions from Bioenergy with CCS (BECCS);Emi|CO2|Energy|Supply|+|Electricity w/ couple prod;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Supply|Electricity;Mt CO2/yr;Fossil CO2 emissions from electricity and CHP production and distribution (IPCC category 1A1ai and 1A1aii), net of negative emissions from Bioenergy with CCS (BECCS);Emi|CO2|Energy|Supply|Electricity|Autoproducer;Mt CO2/yr;-1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Supply|Electricity and Heat;Mt CO2/yr;Fossil CO2 emissions from electricity and CHP production and distribution (IPCC category 1A1ai and 1A1aii) and from heat production and distribution (IPCC category 1A1aiii), net of negative emissions from Bioenergy with CCS (BECCS);Emi|CO2|Energy|Supply|++|Electricity and Heat;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Supply|Hydrogen;Mt CO2/yr;Fossil CO2 emissions from electricity and CHP production and distribution (IPCC category 1A1ai and 1A1aii), net of negative emissions from Bioenergy with CCS (BECCS);Emi|CO2|Energy|Supply|+|Hydrogen w/ couple prod;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Supply|Gases;Mt CO2/yr;Fossil CO2 emissions from fuel combustion and fugitive emissions from fuels: gaseous fuel extraction and processing (e.g. natural gas extraction production, IPCC category 1B2b, parts of 1A1cii), net of negative emissions from Bioenergy with CCS (BECCS);Emi|CO2|Energy|Supply|+|Gases w/ couple prod;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Supply|Heat;Mt CO2/yr;Fossil CO2 emissions from heat production and distribution (IPCC category 1A1aiii), net of negative emissions from Bioenergy with CCS (BECCS);Emi|CO2|Energy|Supply|+|Heat w/ couple prod;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Supply|Liquids and Gases;Mt CO2/yr;Fossil CO2 emissions from fuel combustion and fugitive emissions from fuels: liquid fuel extraction and processing (e.g. oil production, refineries, synfuel production, IPCC category 1A1b, parts of 1A1cii, 1B2a) and gaseous fuel extraction and processing (e.g. natural gas extraction production, IPCC category 1B2b, parts of 1A1cii), net of negative emissions from Bioenergy with CCS (BECCS);;;;;0;;
1;emissions (CO2);Emissions|CO2|Energy|Supply|Liquids;Mt CO2/yr;Fossil CO2 emissions from fuel combustion and fugitive emissions from fuels: liquid fuel extraction and processing (e.g. oil production, refineries, synfuel production, IPCC category 1A1b, parts of 1A1cii, 1B2a), net of negative emissions from Bioenergy with CCS (BECCS);Emi|CO2|Energy|Supply|+|Liquids w/ couple prod;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Energy|Supply|Other Sector;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in other energy supply sectors (please provide a definition of other sources in this category in the 'comments' tab), net of negative emissions from Bioenergy with CCS (BECCS);;;;;0;;
1;emissions (CO2);Emissions|CO2|Energy|Supply|Solids;Mt CO2/yr;Fossil CO2 emissions from fuel combustion and fugitive emissions from fuels: solid fuel extraction and processing (IPCC category 1A1ci, parts of 1A1cii, 1B1);Emi|CO2|Energy|Supply|+|Solids w/ couple prod;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Supply|Non-Renewable Waste;Mt CO2/yr;Fossil CO2 emissions from the combustion of non-renewable waste;;;;;0;;
2;emissions (CO2);Emissions|CO2|Industry;Mt CO2/yr;CO2 emissions by the industrial sector (energy and process emissions), incl. negative emissions from CCS from carbon-neutral fuels (biofuels, efuels);Emi|CO2|Industry;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|Gross Fossil CO2|Energy;Mt CO2/yr;Fossil CO2 emissions from energy use on supply and demand side (IPCC category 1A, 1B), not accounting for negative emissions from BECCS;Emi|CO2|w/o Non-energy Use|Gross|Energy;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|Gross Fossil CO2|Energy|Supply;Mt CO2/yr;Fossil CO2 emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C), not accounting for negative emissions from BECCS;Emi|CO2|Gross|Energy|+|Supply;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|Gross Fossil CO2|Energy|Supply|Electricity;Mt CO2/yr;Fossil CO2 emissions from electricity and CHP production and distribution (IPCC category 1A1ai and 1A1aii), not accounting for negative emissions from BECCS;Emi|CO2|Gross|Energy|Supply|+|Electricity;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|Gross Fossil CO2|Energy|Supply|Hydrogen;Mt CO2/yr;Fossil CO2 emissions from electricity and CHP production and distribution (IPCC category 1A1ai and 1A1aii), not accounting for negative emissions from BECCS;Emi|CO2|Gross|Energy|Supply|+|Hydrogen;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|Gross Fossil CO2|Energy|Supply|Gases;Mt CO2/yr;Fossil CO2 emissions from fuel combustion and fugitive emissions from fuels: gaseous fuel extraction and processing (e.g. natural gas extraction production, IPCC category 1B2b, parts of 1A1cii), not accounting for negative emissions from BECCS;Emi|CO2|Gross|Energy|Supply|+|Gases;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|Gross Fossil CO2|Energy|Supply|Heat;Mt CO2/yr;Fossil CO2 emissions from heat production and distribution (IPCC category 1A1aiii), not accounting for negative emissions from BECCS;Emi|CO2|Gross|Energy|Supply|+|Heat;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|Gross Fossil CO2|Energy|Supply|Liquids;Mt CO2/yr;Fossil CO2 emissions from fuel combustion and fugitive emissions from fuels: liquid fuel extraction and processing (e.g. oil production, refineries, synfuel production, IPCC category 1A1b, parts of 1A1cii, 1B2a), not accounting for negative emissions from BECCS;Emi|CO2|Gross|Energy|Supply|+|Liquids;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|Gross Fossil CO2|Energy|Supply|Other Sector;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in other energy supply sectors (please provide a definition of other sources in this category in the 'comments' tab), not accounting for negative emissions from BECCS;;;;;0;;
1;emissions (CO2);Emissions|Gross Fossil CO2|Energy|Supply|Solids;Mt CO2/yr;Fossil CO2 emissions from fuel combustion and fugitive emissions from fuels: solid fuel extraction and processing (IPCC category 1A1ci, parts of 1A1cii, 1B1), not accounting for negative emissions from BECCS;Emi|CO2|Gross|Energy|Supply|+|Solids;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|Gross Fossil CO2|Energy|Demand|Industry;Mt CO2/yr;Fossil CO2 emissions from fuel combustion in industry (IPCC category 1A2), not accounting for negative emissions from CCS from carbon-neutral fuels (biofuels, efuels), excluding emissions related to feedstocks;Emi|CO2|w/o Non-energy Use|Gross|Energy|Demand|Industry;Mt CO2/yr;1;;0;;R
1;emissions (CO2);Emissions|CO2|Other;Mt CO2/yr;CO2 emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab);;;;;0;;
1;carbon management;Carbon Management|Carbon Capture;Mt CO2/yr;total carbon dioxide emissions captured;Carbon Management|Carbon Capture;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Biomass;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use;Carbon Management|Carbon Capture|+|Biomass|Pe2Se;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Biomass;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use;Carbon Management|Carbon Capture|Industry Energy|+|Biomass;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Fossil;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use;Carbon Management|Carbon Capture|+|Fossil|Pe2Se;Mt CO2/yr;1;this includes cement process emissions which is not explicitly mentiond in variable defintion, though, however otherwise captured carbon would be missing and fossil + biomass would not give total captured carbon;0;;R
2;carbon management;Carbon Management|Carbon Capture|Fossil;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use;Carbon Management|Carbon Capture|Industry Energy|+|Fossil;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Fossil;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use;Carbon Management|Carbon Capture|+|Industry Process;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Industrial Processes;Mt CO2/yr;total carbon dioxide emissions from industrial processes as listed in IPCC categories 2A, B, C, E captured;Carbon Management|Carbon Capture|+|Industry Process;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Industry;Mt CO2/yr;total carbon dioxide emissions captured from industry;Carbon Management|Carbon Capture|+|Industry Energy;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Industry;Mt CO2/yr;total carbon dioxide emissions captured from industry;Carbon Management|Carbon Capture|+|Industry Process;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Industry|Biomass;Mt CO2/yr;total carbon dioxide emissions from biomass captured in industry sector;Carbon Management|Carbon Capture|Industry Energy|+|Biomass;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Industry|Fossil;Mt CO2/yr;total carbon dioxide emissions from fossils (incl. minerals) captured in industry sector;Carbon Management|Carbon Capture|Industry Energy|+|Fossil;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Industry|Fossil;Mt CO2/yr;total carbon dioxide emissions from fossils (incl. minerals) captured in industry sector;Carbon Management|Carbon Capture|+|Industry Process;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Direct Air Capture;Mt CO2/yr;total carbon dioxide emissions captured through direct air capture;Carbon Management|Carbon Capture|+|DAC;Mt CO2/yr;1;;0;;R
2;carbon management;Carbon Management|Carbon Capture|Biomass|Energy|Demand|Industry;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use in industry (IPCC category 1A2);Carbon Management|Carbon Capture|Industry Energy|+|Biomass;Mt CO2/yr;1;;0;;R
