parent;child;factor
Emissions|NH3;Emissions|NH3|Product Use;1
Emissions|NH3;Emissions|NH3|AFOLU|Agriculture;1
Emissions|NH3;Emissions|NH3|AFOLU|Agricultural Waste Burning;1
Emissions|NH3;Emissions|NH3|AFOLU|Land|Fires|Forest Burning;1
Emissions|NH3;Emissions|NH3|AFOLU|Land|Fires|Grassland Burning;1
Emissions|NH3;Emissions|NH3|AFOLU|Land|Fires|Peat Burning;1
Emissions|NH3;Emissions|NH3|AFOLU|Land|Wetlands;1
Emissions|NH3;Emissions|NH3|Waste;1
;;
## Total N2O;;
Emissions|N2O;Emissions|N2O|Energy|Supply;1
Emissions|N2O;Emissions|N2O|Energy|Demand|Industry;1
Emissions|N2O;Emissions|N2O|Energy|Demand|Other Sector;1
Emissions|N2O;Emissions|N2O|Industrial Processes;1
Emissions|N2O;Emissions|N2O|Other;1
Emissions|N2O;Emissions|N2O|Energy|Demand|Bunkers|International Aviation;1
Emissions|N2O;Emissions|N2O|Energy|Demand|Transportation;1
Emissions|N2O;Emissions|N2O|Energy|Demand|Bunkers|International Shipping;1
Emissions|N2O;Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI;1
Emissions|N2O;Emissions|N2O|Product Use;1
Emissions|N2O;Emissions|N2O|AFOLU|Agriculture;1
Emissions|N2O;Emissions|N2O|AFOLU|Agricultural Waste Burning;1
Emissions|N2O;Emissions|N2O|AFOLU|Land|Fires|Forest Burning;1
Emissions|N2O;Emissions|N2O|AFOLU|Land|Fires|Grassland Burning;1
Emissions|N2O;Emissions|N2O|AFOLU|Land|Fires|Peat Burning;1
Emissions|N2O;Emissions|N2O|AFOLU|Land|Wetlands;1
Emissions|N2O;Emissions|N2O|Waste;1
;;
## Total NOx;;
Emissions|NOx;Emissions|NOx|Energy|Supply;1
Emissions|NOx;Emissions|NOx|Energy|Demand|Industry;1
Emissions|NOx;Emissions|NOx|Energy|Demand|Other Sector;1
Emissions|NOx;Emissions|NOx|Industrial Processes;1
Emissions|NOx;Emissions|NOx|Other;1
Emissions|NOx;Emissions|NOx|Energy|Demand|Bunkers|International Aviation;1
Emissions|NOx;Emissions|NOx|Energy|Demand|Transportation;1
Emissions|NOx;Emissions|NOx|Energy|Demand|Bunkers|International Shipping;1
Emissions|NOx;Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI;1
Emissions|NOx;Emissions|NOx|Product Use;1
Emissions|NOx;Emissions|NOx|AFOLU|Agriculture;1
Emissions|NOx;Emissions|NOx|AFOLU|Agricultural Waste Burning;1
Emissions|NOx;Emissions|NOx|AFOLU|Land|Fires|Forest Burning;1
Emissions|NOx;Emissions|NOx|AFOLU|Land|Fires|Grassland Burning;1
Emissions|NOx;Emissions|NOx|AFOLU|Land|Fires|Peat Burning;1
Emissions|NOx;Emissions|NOx|AFOLU|Land|Wetlands;1
Emissions|NOx;Emissions|NOx|Waste;1
;;
## Total OC;;
Emissions|OC;Emissions|OC|Energy|Supply;1
Emissions|OC;Emissions|OC|Energy|Demand|Industry;1
Emissions|OC;Emissions|OC|Energy|Demand|Other Sector;1
Emissions|OC;Emissions|OC|Industrial Processes;1
Emissions|OC;Emissions|OC|Other;1
Emissions|OC;Emissions|OC|Energy|Demand|Bunkers|International Aviation;1
Emissions|OC;Emissions|OC|Energy|Demand|Transportation;1
Emissions|OC;Emissions|OC|Energy|Demand|Bunkers|International Shipping;1
Emissions|OC;Emissions|OC|Energy|Demand|Residential and Commercial and AFOFI;1
Emissions|OC;Emissions|OC|Product Use;1
Emissions|OC;Emissions|OC|AFOLU|Agriculture;1
Emissions|OC;Emissions|OC|AFOLU|Agricultural Waste Burning;1
Emissions|OC;Emissions|OC|AFOLU|Land|Fires|Forest Burning;1
Emissions|OC;Emissions|OC|AFOLU|Land|Fires|Grassland Burning;1
Emissions|OC;Emissions|OC|AFOLU|Land|Fires|Peat Burning;1
Emissions|OC;Emissions|OC|AFOLU|Land|Wetlands;1
Emissions|OC;Emissions|OC|Waste;1
;;
## Total Sulfur;;
Emissions|Sulfur;Emissions|Sulfur|Energy|Supply;1
Emissions|Sulfur;Emissions|Sulfur|Energy|Demand|Industry;1
Emissions|Sulfur;Emissions|Sulfur|Energy|Demand|Other Sector;1
Emissions|Sulfur;Emissions|Sulfur|Industrial Processes;1
Emissions|Sulfur;Emissions|Sulfur|Other;1
Emissions|Sulfur;Emissions|Sulfur|Energy|Demand|Bunkers|International Aviation;1
Emissions|Sulfur;Emissions|Sulfur|Energy|Demand|Transportation;1
Emissions|Sulfur;Emissions|Sulfur|Energy|Demand|Bunkers|International Shipping;1
Emissions|Sulfur;Emissions|Sulfur|Energy|Demand|Residential and Commercial and AFOFI;1
Emissions|Sulfur;Emissions|Sulfur|Product Use;1
Emissions|Sulfur;Emissions|Sulfur|AFOLU|Agriculture;1
Emissions|Sulfur;Emissions|Sulfur|AFOLU|Agricultural Waste Burning;1
Emissions|Sulfur;Emissions|Sulfur|AFOLU|Land|Fires|Forest Burning;1
Emissions|Sulfur;Emissions|Sulfur|AFOLU|Land|Fires|Grassland Burning;1
Emissions|Sulfur;Emissions|Sulfur|AFOLU|Land|Fires|Peat Burning;1
Emissions|Sulfur;Emissions|Sulfur|AFOLU|Land|Wetlands;1
Emissions|Sulfur;Emissions|Sulfur|Waste;1
;;
## Total VOC;;
Emissions|VOC;Emissions|VOC|Energy|Supply;1
Emissions|VOC;Emissions|VOC|Energy|Demand|Industry;1
Emissions|VOC;Emissions|VOC|Energy|Demand|Other Sector;1
Emissions|VOC;Emissions|VOC|Industrial Processes;1
Emissions|VOC;Emissions|VOC|Other;1
Emissions|VOC;Emissions|VOC|Energy|Demand|Bunkers|International Aviation;1
Emissions|VOC;Emissions|VOC|Energy|Demand|Transportation;1
Emissions|VOC;Emissions|VOC|Energy|Demand|Bunkers|International Shipping;1
Emissions|VOC;Emissions|VOC|Energy|Demand|Residential and Commercial and AFOFI;1
Emissions|VOC;Emissions|VOC|Product Use;1
Emissions|VOC;Emissions|VOC|AFOLU|Agriculture;1
Emissions|VOC;Emissions|VOC|AFOLU|Agricultural Waste Burning;1
Emissions|VOC;Emissions|VOC|AFOLU|Land|Fires|Forest Burning;1
Emissions|VOC;Emissions|VOC|AFOLU|Land|Fires|Grassland Burning;1
Emissions|VOC;Emissions|VOC|AFOLU|Land|Fires|Peat Burning;1
Emissions|VOC;Emissions|VOC|AFOLU|Land|Wetlands;1
Emissions|VOC;Emissions|VOC|Waste;1
;;
# Dummy, needs to be present for tests
Final Energy|Industry;Final Energy|Industry|Electricity;1
Final Energy|Industry;Final Energy|Industry|Gases;1
Final Energy|Industry;Final Energy|Industry|Heat;1
Final Energy|Industry;Final Energy|Industry|Hydrogen;1
Final Energy|Industry;Final Energy|Industry|Liquids;1
Final Energy|Industry;Final Energy|Industry|Other;1
Final Energy|Industry;Final Energy|Industry|Solids;1
