parent;child;factor
Carbon Capture|Storage|Fossil|Energy|Supply;Carbon Capture|Storage|Fossil|Energy|Supply|Gases;1
Carbon Capture|Storage|Fossil|Energy|Supply;Carbon Capture|Storage|Fossil|Energy|Supply|Hydrogen;1
Carbon Capture|Storage|Fossil|Energy|Supply;Carbon Capture|Storage|Fossil|Energy|Supply|Liquids;1
Carbon Capture|Storage|Fossil|Energy|Supply;Carbon Capture|Storage|Fossil|Energy|Supply|Other;1

Carbon Capture|Usage;Carbon Capture|Usage|Liquids;1
Carbon Capture|Usage;Carbon Capture|Usage|Gases;1
Carbon Capture|Usage;Carbon Capture|Usage|Other;1

Carbon Removal;Carbon Removal|Geological Storage;1
Carbon Removal;Carbon Removal|Enhanced Weathering;1
Carbon Removal;Carbon Removal|Land Use;1
Carbon Removal;Carbon Removal|Ocean;1
Carbon Removal;Carbon Removal|Materials;1
Carbon Removal;Carbon Removal|Other;1

Carbon Removal|Land Use;Carbon Removal|Land Use|Afforestation;1
Carbon Removal|Land Use;Carbon Removal|Land Use|Biochar;1
Carbon Removal|Land Use;Carbon Removal|Land Use|Soil Carbon Management;1
Carbon Removal|Land Use;Carbon Removal|Land Use|Agroforestry;1
Carbon Removal|Land Use;Carbon Removal|Land Use|Other;1

Carbon Removal|Materials;Carbon Removal|Materials|Timber;1
Carbon Removal|Materials;Carbon Removal|Materials|Plastics;1
Carbon Removal|Materials;Carbon Removal|Materials|Other;1

Carbon Removal|Ocean;Carbon Removal|Ocean|Alkalinization;1
Carbon Removal|Ocean;Carbon Removal|Ocean|Other;1

Collected Scrap|Iron and Steel;Collected Scrap|Iron and Steel|Residential and Commercial;1
Collected Scrap|Iron and Steel;Collected Scrap|Iron and Steel|Power Sector;1
Collected Scrap|Iron and Steel;Collected Scrap|Iron and Steel|Transportation;1
Collected Scrap|Iron and Steel;Collected Scrap|Iron and Steel|Other;1

Collected Scrap|Non-Ferrous Metals;Collected Scrap|Non-Ferrous Metals|Residential and Commercial;1
Collected Scrap|Non-Ferrous Metals;Collected Scrap|Non-Ferrous Metals|Power Sector;1
Collected Scrap|Non-Ferrous Metals;Collected Scrap|Non-Ferrous Metals|Transportation;1
Collected Scrap|Non-Ferrous Metals;Collected Scrap|Non-Ferrous Metals|Other;1

Consumption;Consumption|D1;1
Consumption;Consumption|D2;1
Consumption;Consumption|D3;1
Consumption;Consumption|D4;1
Consumption;Consumption|D5;1
Consumption;Consumption|D6;1
Consumption;Consumption|D7;1
Consumption;Consumption|D8;1
Consumption;Consumption|D9;1
Consumption;Consumption|D10;1

Conversion Input|Electricity|Hydrogen;Conversion Input|Electricity|Hydrogen|Autoproduction;1

Conversion Input|Hydrogen|Liquids;Conversion Input|Hydrogen|Liquids|Autoproduction;1

Cumulative Capacity|Electricity|Biomass;Cumulative Capacity|Electricity|Biomass|w/ CCS;1
Cumulative Capacity|Electricity|Biomass;Cumulative Capacity|Electricity|Biomass|w/o CCS;1

Cumulative Capacity|Electricity|Coal;Cumulative Capacity|Electricity|Coal|w/ CCS;1
Cumulative Capacity|Electricity|Coal;Cumulative Capacity|Electricity|Coal|w/o CCS;1

Cumulative Capacity|Electricity|Gas;Cumulative Capacity|Electricity|Gas|w/ CCS;1
Cumulative Capacity|Electricity|Gas;Cumulative Capacity|Electricity|Gas|w/o CCS;1

Cumulative Capacity|Electricity|Oil;Cumulative Capacity|Electricity|Oil|w/ CCS;1
Cumulative Capacity|Electricity|Oil;Cumulative Capacity|Electricity|Oil|w/o CCS;1

Cumulative Capacity|Electricity|Solar;Cumulative Capacity|Electricity|Solar|CSP;1
Cumulative Capacity|Electricity|Solar;Cumulative Capacity|Electricity|Solar|PV;1

Cumulative Capacity|Electricity|Wind;Cumulative Capacity|Electricity|Wind|Offshore;1
Cumulative Capacity|Electricity|Wind;Cumulative Capacity|Electricity|Wind|Onshore;1

Cumulative Capacity|Gases|Biomass;Cumulative Capacity|Gases|Biomass|w/ CCS;1
Cumulative Capacity|Gases|Biomass;Cumulative Capacity|Gases|Biomass|w/o CCS;1

Cumulative Capacity|Gases|Coal;Cumulative Capacity|Gases|Coal|w/ CCS;1
Cumulative Capacity|Gases|Coal;Cumulative Capacity|Gases|Coal|w/o CCS;1

Cumulative Capacity|Hydrogen|Biomass;Cumulative Capacity|Hydrogen|Biomass|w/ CCS;1
Cumulative Capacity|Hydrogen|Biomass;Cumulative Capacity|Hydrogen|Biomass|w/o CCS;1

Cumulative Capacity|Hydrogen|Coal;Cumulative Capacity|Hydrogen|Coal|w/ CCS;1
Cumulative Capacity|Hydrogen|Coal;Cumulative Capacity|Hydrogen|Coal|w/o CCS;1

Cumulative Capacity|Hydrogen|Gas;Cumulative Capacity|Hydrogen|Gas|w/ CCS;1
Cumulative Capacity|Hydrogen|Gas;Cumulative Capacity|Hydrogen|Gas|w/o CCS;1

Cumulative Capacity|Liquids|Biomass;Cumulative Capacity|Liquids|Biomass|w/ CCS;1
Cumulative Capacity|Liquids|Biomass;Cumulative Capacity|Liquids|Biomass|w/o CCS;1

Cumulative Capacity|Liquids|Coal;Cumulative Capacity|Liquids|Coal|w/ CCS;1
Cumulative Capacity|Liquids|Coal;Cumulative Capacity|Liquids|Coal|w/o CCS;1

Cumulative Capacity|Liquids|Gas;Cumulative Capacity|Liquids|Gas|w/ CCS;1
Cumulative Capacity|Liquids|Gas;Cumulative Capacity|Liquids|Gas|w/o CCS;1

Emissions|BC;Emissions|BC|AFOLU;1
Emissions|BC;Emissions|BC|Energy;1
Emissions|BC;Emissions|BC|Waste;1
Emissions|BC;Emissions|BC|Other;1

Emissions|CH4;Emissions|CH4|AFOLU;1
Emissions|CH4;Emissions|CH4|Energy;1
Emissions|CH4;Emissions|CH4|Waste;1
Emissions|CH4;Emissions|CH4|Industrial Processes;1
Emissions|CH4;Emissions|CH4|Other;1

Emissions|CH4|AFOLU;Emissions|CH4|AFOLU|Agriculture;1
Emissions|CH4|AFOLU;Emissions|CH4|AFOLU|Land;1

Emissions|CH4|AFOLU|Agriculture|Livestock;Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation;1
Emissions|CH4|AFOLU|Agriculture|Livestock;Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management;1

Emissions|CO;Emissions|CO|AFOLU;1
Emissions|CO;Emissions|CO|Energy;1
Emissions|CO;Emissions|CO|Waste;1
Emissions|CO;Emissions|CO|Other;1

Emissions|CO2;Emissions|CO2|AFOLU;1
Emissions|CO2;Emissions|CO2|Energy;1
Emissions|CO2;Emissions|CO2|Industrial Processes;1
Emissions|CO2;Emissions|CO2|Waste;1
Emissions|CO2;Emissions|CO2|Other;1
Emissions|CO2;Emissions|CO2|Other Removal;1

Emissions|CO2|Energy and Industrial Processes;Emissions|CO2|Energy;1
Emissions|CO2|Energy and Industrial Processes;Emissions|CO2|Industrial Processes;1

Emissions|CO2|AFOLU;Emissions|CO2|AFOLU|Agriculture;1
Emissions|CO2|AFOLU;Emissions|CO2|AFOLU|Land;1

Emissions|CO2|AFOLU|Land;Emissions|CO2|AFOLU|Land|Positive;1
Emissions|CO2|AFOLU|Land;Emissions|CO2|AFOLU|Land|Negative;1
Emissions|CO2|AFOLU|Land;Emissions|CO2|AFOLU|Land|Wetlands;1

Emissions|CO2|Energy;Emissions|CO2|Energy|Supply;1
Emissions|CO2|Energy;Emissions|CO2|Energy|Demand;1

Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|AFOFI;1
Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|Industry;1
Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|Other Sector;1
Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|Residential and Commercial;1
Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|Transportation;1
Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|Bunkers;1

Emissions|CO2|Energy|Demand|Bunkers;Emissions|CO2|Energy|Demand|Bunkers|Gases;1
Emissions|CO2|Energy|Demand|Bunkers;Emissions|CO2|Energy|Demand|Bunkers|Liquids;1

Emissions|CO2|Energy|Demand|Bunkers 2;Emissions|CO2|Energy|Demand|Bunkers|International Aviation;1
Emissions|CO2|Energy|Demand|Bunkers 2;Emissions|CO2|Energy|Demand|Bunkers|International Shipping;1

Emissions|CO2|Energy|Demand|Bunkers|International Aviation;Emissions|CO2|Energy|Demand|Bunkers|International Aviation|Liquids;1
Emissions|CO2|Energy|Demand|Bunkers|International Aviation;Emissions|CO2|Energy|Demand|Bunkers|International Aviation|Gases;1

Emissions|CO2|Energy|Demand|Bunkers|International Shipping;Emissions|CO2|Energy|Demand|Bunkers|International Shipping|Liquids;1
Emissions|CO2|Energy|Demand|Bunkers|International Shipping;Emissions|CO2|Energy|Demand|Bunkers|International Shipping|Gases;1

Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Non-Metallic Minerals;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Chemicals;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Steel;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Other Sector;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Pulp and Paper;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals;1

Emissions|CO2|Energy|Demand|Residential and Commercial;Emissions|CO2|Energy|Demand|Commercial;1
Emissions|CO2|Energy|Demand|Residential and Commercial;Emissions|CO2|Energy|Demand|Residential;1

Emissions|CO2|Energy|Demand|Transportation;Emissions|CO2|Energy|Demand|Transportation|Gases;1
Emissions|CO2|Energy|Demand|Transportation;Emissions|CO2|Energy|Demand|Transportation|Liquids;1

Emissions|CO2|Energy|Demand|Transportation 2;Emissions|CO2|Energy|Demand|Transportation|Bus;1
Emissions|CO2|Energy|Demand|Transportation 2;Emissions|CO2|Energy|Demand|Transportation|Domestic Aviation;1
Emissions|CO2|Energy|Demand|Transportation 2;Emissions|CO2|Energy|Demand|Transportation|Domestic Shipping;1
Emissions|CO2|Energy|Demand|Transportation 2;Emissions|CO2|Energy|Demand|Transportation|LDV;1
Emissions|CO2|Energy|Demand|Transportation 2;Emissions|CO2|Energy|Demand|Transportation|Rail;1
Emissions|CO2|Energy|Demand|Transportation 2;Emissions|CO2|Energy|Demand|Transportation|Truck;1

Emissions|CO2|Energy|Demand|Transportation 3;Emissions|CO2|Energy|Demand|Transportation|Passenger;1
Emissions|CO2|Energy|Demand|Transportation 3;Emissions|CO2|Energy|Demand|Transportation|Freight;1

Emissions|CO2|Energy|Demand|Transportation|Bus;Emissions|CO2|Energy|Demand|Transportation|Bus|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|Bus;Emissions|CO2|Energy|Demand|Transportation|Bus|Gases;1
Emissions|CO2|Energy|Demand|Transportation|Bus;Emissions|CO2|Energy|Demand|Transportation|Bus|ICE;1
Emissions|CO2|Energy|Demand|Transportation|Bus;Emissions|CO2|Energy|Demand|Transportation|Bus|Hybrid;1

Emissions|CO2|Energy|Demand|Transportation|Bus|Hybrid;Emissions|CO2|Energy|Demand|Transportation|Bus|Hybrid|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|Bus|Hybrid;Emissions|CO2|Energy|Demand|Transportation|Bus|Hybrid|Gases;1

Emissions|CO2|Energy|Demand|Transportation|Bus|ICE;Emissions|CO2|Energy|Demand|Transportation|Bus|ICE|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|Bus|ICE;Emissions|CO2|Energy|Demand|Transportation|Bus|ICE|Gases;1

Emissions|CO2|Energy|Demand|Transportation|Domestic Aviation;Emissions|CO2|Energy|Demand|Transportation|Domestic Aviation|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|Domestic Aviation;Emissions|CO2|Energy|Demand|Transportation|Domestic Aviation|Gases;1

Emissions|CO2|Energy|Demand|Transportation|Domestic Shipping;Emissions|CO2|Energy|Demand|Transportation|Domestic Shipping|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|Domestic Shipping;Emissions|CO2|Energy|Demand|Transportation|Domestic Shipping|Gases;1

Emissions|CO2|Energy|Demand|Transportation|LDV;Emissions|CO2|Energy|Demand|Transportation|LDV|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|LDV;Emissions|CO2|Energy|Demand|Transportation|LDV|Gases;1
Emissions|CO2|Energy|Demand|Transportation|LDV;Emissions|CO2|Energy|Demand|Transportation|LDV|ICE;1
Emissions|CO2|Energy|Demand|Transportation|LDV;Emissions|CO2|Energy|Demand|Transportation|LDV|Hybrid;1

Emissions|CO2|Energy|Demand|Transportation|LDV|Hybrid;Emissions|CO2|Energy|Demand|Transportation|LDV|Hybrid|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|LDV|Hybrid;Emissions|CO2|Energy|Demand|Transportation|LDV|Hybrid|Gases;1

Emissions|CO2|Energy|Demand|Transportation|LDV|ICE;Emissions|CO2|Energy|Demand|Transportation|LDV|ICE|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|LDV|ICE;Emissions|CO2|Energy|Demand|Transportation|LDV|ICE|Gases;1

# fails with Relative difference between -71.2% and 16.2%, absolute difference up to 207 Mt CO2/yr.
Emissions|CO2|Energy|Demand|Transportation|Passenger;Emissions|CO2|Energy|Demand|Transportation|Passenger|Bus;1
Emissions|CO2|Energy|Demand|Transportation|Passenger;Emissions|CO2|Energy|Demand|Transportation|Passenger|Domestic Aviation;1
Emissions|CO2|Energy|Demand|Transportation|Passenger;Emissions|CO2|Energy|Demand|Transportation|Passenger|LDV;1
Emissions|CO2|Energy|Demand|Transportation|Passenger;Emissions|CO2|Energy|Demand|Transportation|Passenger|Rail;1

Emissions|CO2|Energy|Demand|Transportation|Rail;Emissions|CO2|Energy|Demand|Transportation|Rail|Liquids;1

Emissions|CO2|Energy|Demand|Transportation|Truck;Emissions|CO2|Energy|Demand|Transportation|Truck|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|Truck;Emissions|CO2|Energy|Demand|Transportation|Truck|Gases;1
Emissions|CO2|Energy|Demand|Transportation|Truck;Emissions|CO2|Energy|Demand|Transportation|Truck|ICE;1
Emissions|CO2|Energy|Demand|Transportation|Truck;Emissions|CO2|Energy|Demand|Transportation|Truck|Hybrid;1

Emissions|CO2|Energy|Demand|Transportation|Truck|Hybrid;Emissions|CO2|Energy|Demand|Transportation|Truck|Hybrid|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|Truck|Hybrid;Emissions|CO2|Energy|Demand|Transportation|Truck|Hybrid|Gases;1

Emissions|CO2|Energy|Demand|Transportation|Truck|ICE;Emissions|CO2|Energy|Demand|Transportation|Truck|ICE|Liquids;1
Emissions|CO2|Energy|Demand|Transportation|Truck|ICE;Emissions|CO2|Energy|Demand|Transportation|Truck|ICE|Gases;1

Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Electricity;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Gases;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Heat;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Hydrogen;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Liquids;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Other;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Solids;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Autoproduction;1

Emissions|CO2|Industry and Industrial Processes;Emissions|CO2|Industrial Processes;1
Emissions|CO2|Industry and Industrial Processes;Emissions|CO2|Energy|Demand|Industry;1

# Relative difference between 29.8% and 94.9%, absolute difference up to 2090 Mt CO2/yr.
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Iron and Steel;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Non-Metallic Minerals;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Non-Ferrous Metals;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Chemicals;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Pulp and Paper;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Other Sector;1

Emissions|CO2|Industrial Processes|Non-Metallic Minerals;Emissions|CO2|Industrial Processes|Non-Metallic Minerals|Cement;1

Emissions|CO2|Waste;Emissions|CO2|Waste|Biomass;1
Emissions|CO2|Waste;Emissions|CO2|Waste|Fossil;1

# Relative difference between -55.3% and -6.11%, absolute difference up to 21245 Mt CO2-equiv/yr.
Emissions|Kyoto Gases;Emissions|Kyoto Gases|AFOLU;1
Emissions|Kyoto Gases;Emissions|Kyoto Gases|Energy;1
Emissions|Kyoto Gases;Emissions|Kyoto Gases|Waste;1
# Emissions|Kyoto Gases;Emissions|Kyoto Gases|Industry;1 # not needed, part of Industrial Processes and Energy
Emissions|Kyoto Gases;Emissions|Kyoto Gases|Industrial Processes;1
Emissions|Kyoto Gases;Emissions|Kyoto Gases|Other;1

Emissions|Kyoto Gases|AFOLU;Emissions|Kyoto Gases|AFOLU|Agriculture;1
Emissions|Kyoto Gases|AFOLU;Emissions|Kyoto Gases|AFOLU|Land;1

Emissions|N2O;Emissions|N2O|AFOLU;1
Emissions|N2O;Emissions|N2O|Energy;1
Emissions|N2O;Emissions|N2O|Waste;1
Emissions|N2O;Emissions|N2O|Other;1

Emissions|N2O|AFOLU;Emissions|N2O|AFOLU|Agriculture;1
Emissions|N2O|AFOLU;Emissions|N2O|AFOLU|Land;1

Emissions|NH3;Emissions|NH3|AFOLU;1
Emissions|NH3;Emissions|NH3|Energy;1
Emissions|NH3;Emissions|NH3|Waste;1
Emissions|NH3;Emissions|NH3|Other;1

Emissions|NOx;Emissions|NOx|AFOLU;1
Emissions|NOx;Emissions|NOx|Energy;1
Emissions|NOx;Emissions|NOx|Waste;1
Emissions|NOx;Emissions|NOx|Other;1

Emissions|OC;Emissions|OC|AFOLU;1
Emissions|OC;Emissions|OC|Energy;1
Emissions|OC;Emissions|OC|Waste;1
Emissions|OC;Emissions|OC|Other;1

Emissions|Sulfur;Emissions|Sulfur|AFOLU;1
Emissions|Sulfur;Emissions|Sulfur|Energy;1
Emissions|Sulfur;Emissions|Sulfur|Waste;1
Emissions|Sulfur;Emissions|Sulfur|Other;1

Emissions|VOC;Emissions|VOC|AFOLU;1
Emissions|VOC;Emissions|VOC|Energy;1
Emissions|VOC;Emissions|VOC|Waste;1
Emissions|VOC;Emissions|VOC|Other;1

Employment;Employment|Agriculture;1
Employment;Employment|Industry;1
Employment;Employment|Service;1

Employment|Industry;Employment|Industry|Energy;1
Employment|Industry;Employment|Industry|Energy Intensive;1
Employment|Industry;Employment|Industry|Manufacturing;1

# Relative difference between -112% and -1.18%, absolute difference up to 13202 bn pkm/yr.
