variable;unit;tier;description;comment;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Emissions|CH4|AFOLU|Land;Mt CH4/yr;2;Emissions of methane (CH4) from forestry and other land use and land use change. Removals in this variable include agroforestry, re/afforestation, biochar, soil carbon management and forest management.;;Emissions|CH4|Land|Peatland|+|Managed;Mt CH4/yr;;;M;linear
Emissions|CH4|AFOLU|Land|Wetlands;Mt CH4/yr;3;Emissions of methane (CH4) from managed wetlands (e.g., peatland), including emissions from drained wetlands used for agriculture, forestry or other uses (IPCC 2006 categories 3B1biii, 3B2biii and 3B3biii, 3B5biv, 3B6biv), and emissions from rewetted wetlands (IPCC 2006 category 3B4);Includes reservoirs as a managed sub-division and natural rivers and lakes as unmanaged sub-divisions. Includes drained and rewetted wetlands, does not include natural emissions from intact wetlands.;Emissions|CH4|Land|Peatland|+|Managed;Mt CH4/yr;;;M;linear
Emissions|CO2|AFOLU;Mt CO2/yr;1;Emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;This variable reports the sum of sources and sinks including land-use methods such as soil carbon sequestration, biochar, forestry, and re/afforestation and agroforestry. It uses the model/scientific definition of AFOLU, and does not align with the reporting of national greenhouse gas inventories (NGHGI). For NGHGI-aligned reporting, see 'Emissions|*|AFOLU [NGHGI]'. Emissions reported in this category represent fluxes to/from the atmosphere from/to the land pool. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;Emissions|CO2|Land|+|Land-use Change;Mt CO2/yr;;;M;linear
Emissions|CO2|AFOLU|Land;Mt CO2/yr;2;Emissions of carbon dioxide (CO2) from forestry and other land use and land use change. Removals in this variable include agroforestry, re/afforestation, biochar, soil carbon management and forest management.;;Emissions|CO2|Land|+|Land-use Change;Mt CO2/yr;;;M;linear
Emissions|CO2|AFOLU|Land|Harvested Wood Products;Mt CO2/yr;3;Emissions and removals from harvested wood products (HWP) (no clear IPCC 1996 category - IPCC 2006 category 3D1);;Emissions|CO2|Land|Land-use Change|+|Timber;Mt CO2/yr;;;M;linear
Emissions|CO2|AFOLU|Land|Land Use and Land-Use Change;Mt CO2/yr;3;Emissions and removals from forest land, cropland, grassland, settlements and other natural land (partially IPCC 1996 category 5 - IPCC 2006 category 3B except 3B1biii, 3B2biii, 3B3biii, 3B5biv, 3B6biv and 3B4).;This variable only includes anthropogenic emissions, but does not include emissions from managed or rewetted wetlands.;Emissions|CO2|Land|Land-use Change|+|Deforestation;Mt CO2/yr;;;M;linear
Emissions|CO2|AFOLU|Land|Land Use and Land-Use Change;Mt CO2/yr;3;Emissions and removals from forest land, cropland, grassland, settlements and other natural land (partially IPCC 1996 category 5 - IPCC 2006 category 3B except 3B1biii, 3B2biii, 3B3biii, 3B5biv, 3B6biv and 3B4).;This variable only includes anthropogenic emissions, but does not include emissions from managed or rewetted wetlands.;Emissions|CO2|Land|Land-use Change|+|Forest degradation;Mt CO2/yr;;;M;linear
Emissions|CO2|AFOLU|Land|Land Use and Land-Use Change;Mt CO2/yr;3;Emissions and removals from forest land, cropland, grassland, settlements and other natural land (partially IPCC 1996 category 5 - IPCC 2006 category 3B except 3B1biii, 3B2biii, 3B3biii, 3B5biv, 3B6biv and 3B4).;This variable only includes anthropogenic emissions, but does not include emissions from managed or rewetted wetlands.;Emissions|CO2|Land|Land-use Change|+|Other land conversion;Mt CO2/yr;;;M;linear
Emissions|CO2|AFOLU|Land|Land Use and Land-Use Change;Mt CO2/yr;3;Emissions and removals from forest land, cropland, grassland, settlements and other natural land (partially IPCC 1996 category 5 - IPCC 2006 category 3B except 3B1biii, 3B2biii, 3B3biii, 3B5biv, 3B6biv and 3B4).;This variable only includes anthropogenic emissions, but does not include emissions from managed or rewetted wetlands.;Emissions|CO2|Land|Land-use Change|+|Regrowth;Mt CO2/yr;;;M;linear
Emissions|CO2|AFOLU|Land|Land Use and Land-Use Change;Mt CO2/yr;3;Emissions and removals from forest land, cropland, grassland, settlements and other natural land (partially IPCC 1996 category 5 - IPCC 2006 category 3B except 3B1biii, 3B2biii, 3B3biii, 3B5biv, 3B6biv and 3B4).;This variable only includes anthropogenic emissions, but does not include emissions from managed or rewetted wetlands.;Emissions|CO2|Land|Land-use Change|+|Soil;Mt CO2/yr;;;M;linear
Emissions|CO2|AFOLU|Land|Land Use and Land-Use Change;Mt CO2/yr;3;Emissions and removals from forest land, cropland, grassland, settlements and other natural land (partially IPCC 1996 category 5 - IPCC 2006 category 3B except 3B1biii, 3B2biii, 3B3biii, 3B5biv, 3B6biv and 3B4).;This variable only includes anthropogenic emissions, but does not include emissions from managed or rewetted wetlands.;Emissions|CO2|Land|Land-use Change|+|Wood Harvest;Mt CO2/yr;;;M;linear
Emissions|CO2|AFOLU|Land|Other;Mt CO2/yr;3;Emissions and removals from land that cannot be  accommodated in other categories (no clear IPCC 1996 category - IPCC 2006 category 3D2);;Emissions|CO2|Land|Land-use Change|+|Residual;Mt CO2/yr;;;M;linear
Emissions|CO2|AFOLU|Land|Wetlands;Mt CO2/yr;3;Emissions of carbon dioxide (CO2) from managed wetlands (e.g., peatland), including emissions from drained wetlands used for agriculture, forestry or other uses (IPCC 2006 categories 3B1biii, 3B2biii and 3B3biii, 3B5biv, 3B6biv), and emissions from rewetted wetlands (IPCC 2006 category 3B4);Includes reservoirs as a managed sub-division and natural rivers and lakes as unmanaged sub-divisions. Includes drained and rewetted wetlands, does not include natural emissions from intact wetlands.;Emissions|CO2|Land|Land-use Change|+|Peatland;Mt CO2/yr;;added manually;M;linear
Emissions|N2O|AFOLU;kt N2O/yr;1;Emissions of nitrous oxide (N2O) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;This variable reports the sum of sources and sinks including land-use methods such as soil carbon sequestration, biochar, forestry, and re/afforestation and agroforestry. It uses the model/scientific definition of AFOLU, and does not align with the reporting of national greenhouse gas inventories (NGHGI). For NGHGI-aligned reporting, see 'Emissions|*|AFOLU [NGHGI]'. Emissions reported in this category represent fluxes to/from the atmosphere from/to the land pool. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;Emissions|N2O|Land;Mt N2O/yr;1000;;M;linear
Emissions|N2O|AFOLU|Agriculture;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from the agriculture sector (IPCC 1996 category 4 - IPCC 2006 category 3A and 3C except 3C1);;Emissions|N2O|Land|+|Agriculture;Mt N2O/yr;1000;;M;linear
Emissions|N2O|AFOLU|Agriculture|Livestock;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from livestock in the agriculture sector (IPCC 1996 category 4A and 4B - IPCC 2006 category 3A);;Emissions|N2O|Land|Agriculture|+|Animal Waste Management;Mt N2O/yr;1000;;M;linear
Emissions|N2O|AFOLU|Agriculture|Managed Soils;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5);;Emissions|N2O|Land|Agriculture|Agricultural Soils|+|Inorganic Fertilizers;Mt N2O/yr;1000;;M;linear
Emissions|N2O|AFOLU|Agriculture|Managed Soils;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5);;Emissions|N2O|Land|Agriculture|Agricultural Soils|+|Manure applied to Croplands;Mt N2O/yr;1000;;M;linear
Emissions|N2O|AFOLU|Agriculture|Managed Soils;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5);;Emissions|N2O|Land|Agriculture|Agricultural Soils|+|Decay of Crop Residues;Mt N2O/yr;1000;;M;linear
Emissions|N2O|AFOLU|Agriculture|Managed Soils;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5);;Emissions|N2O|Land|Agriculture|Agricultural Soils|+|Soil Organic Matter Loss;Mt N2O/yr;1000;;M;linear
Emissions|N2O|AFOLU|Agriculture|Managed Soils;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5);;Emissions|N2O|Land|Agriculture|Agricultural Soils|+|Pasture;Mt N2O/yr;1000;;M;linear
Emissions|N2O|AFOLU|Land;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from forestry and other land use and land use change. Removals in this variable include agroforestry, re/afforestation, biochar, soil carbon management and forest management.;;Emissions|N2O|Land|Peatland|+|Managed;Mt N2O/yr;1000;;M;linear
Emissions|N2O|AFOLU|Land|Wetlands;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from managed wetlands (e.g., peatland), including emissions from drained wetlands used for agriculture, forestry or other uses (IPCC 2006 categories 3B1biii, 3B2biii and 3B3biii, 3B5biv, 3B6biv), and emissions from rewetted wetlands (IPCC 2006 category 3B4);Includes reservoirs as a managed sub-division and natural rivers and lakes as unmanaged sub-divisions. Includes drained and rewetted wetlands, does not include natural emissions from intact wetlands.;Emissions|N2O|Land|Peatland|+|Managed;Mt N2O/yr;1000;;M;linear
Expenditure|Households|Food [Share];%;;Share of food expenditure in total income (including value added from food processing chain);;SDG|SDG02|Food expenditure share;income;100;additional mapping taken from additional_SHAPE;M;
Expenditure|Households|Food|Agriculture [Share];%;;Expenditure share for agricultural products in total income based on farm-gate prices (without value added from food processing chain);;SDG|SDG02|Agricultural primary product expenditure share;income;100;;M;
Fertilizer Use|Nitrogen;Tg N/yr;1;Nitrogen fertilizer use on cropland (synthetic and organic);;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure Recycled from Confinements;Mt Nr/yr;;;M;
Fertilizer Use|Nitrogen;Tg N/yr;1;Nitrogen fertilizer use on cropland (synthetic and organic);;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;;M;
Fertilizer Use|Nitrogen;Tg N/yr;1;Nitrogen fertilizer use on cropland (synthetic and organic);;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;M;
Food Availability [per capita];kcal/cap/day;1;Amount of food available from crops, secondary products and livestock products;;Nutrition|Calorie Supply;kcal/capita/day;;;M;
Food Availability|Crops [per capita];kcal/cap/day;1;Amount of food available from crops and secondary products;;Nutrition|Calorie Supply|+|Crops;kcal/capita/day;;;M;
Food Availability|Crops [per capita];kcal/cap/day;1;Amount of food available from crops and secondary products;;Nutrition|Calorie Supply|+|Secondary products;kcal/capita/day;;;M;
Food Availability|Livestock [per capita];kcal/cap/day;1;Amount of food available from livestock products;;Nutrition|Calorie Supply|+|Livestock products;kcal/capita/day;;;M;
Food Waste [per capita];kcal/cap/day;2;Amount of food (crops and livestock) per capita that is disposed and not consumed (difference between food availability and food intake), including food losses and food waste;;SDG|SDG12|Food waste;kcal/cap/day;;;M;
Forest Area Change;million ha/yr;3;Annual net change in total forest area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|NetForestChange;Mha/yr;;;M;
Forest Area Change|Deforestation;million ha/yr;3;Annual gross deforested area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestLoss;Mha/yr;;;M;
Forest Area Change|Deforestation|Planted;million ha/yr;3;Annual gross loss of planted forest area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestLoss|+|Planted;Mha/yr;;;M;
Forest Area Change|Deforestation|Primary;million ha/yr;3;Annual gross loss of primary forest area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestLoss|+|Primary;Mha/yr;;;M;
Forest Area Change|Deforestation|Secondary;million ha/yr;3;Annual gross loss of secondary forest area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestLoss|+|Secondary;Mha/yr;;;M;
Forest Area Change|Forest Expansion;million ha/yr;3;Annual gross expansion of forest area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain;Mha/yr;;;M;
Forest Area Change|Forest Expansion|Planted;million ha/yr;3;Annual gross expansion of planted forest area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain|+|Planted;Mha/yr;;;M;
Forest Area Change|Forest Expansion|Planted|Natural;million ha/yr;3;Annual gross expansion of planted forest area not classified as plantation forest;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain|Planted|Natural|+|NPI_NDC AR;Mha/yr;;;M;
Forest Area Change|Forest Expansion|Planted|Natural;million ha/yr;3;Annual gross expansion of planted forest area not classified as plantation forest;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain|Planted|Natural|+|CO2-price AR;Mha/yr;;;M;
Forest Area Change|Forest Expansion|Planted|Natural|Other;million ha/yr;3;Annual gross expansion of other planted forest area not classified as plantation;This variable should be computed as yearly average change between the previous and the current reported time step.;;;;;;
Forest Area Change|Forest Expansion|Planted|Natural|Re/Afforestation;million ha/yr;3;Annual gross reforestation and/or afforestation area for carbon sequestration with native tree species;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain|Planted|Natural|+|NPI_NDC AR;Mha/yr;;;M;
Forest Area Change|Forest Expansion|Planted|Natural|Re/Afforestation;million ha/yr;3;Annual gross reforestation and/or afforestation area for carbon sequestration with native tree species;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain|Planted|Natural|+|CO2-price AR;Mha/yr;;;M;
Forest Area Change|Forest Expansion|Planted|Plantation;million ha/yr;3;Annual gross expansion of plantation area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain|Planted|Plantation|+|CO2-price AR;Mha/yr;;;M;
Forest Area Change|Forest Expansion|Planted|Plantation;million ha/yr;3;Annual gross expansion of plantation area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain|Planted|Plantation|+|Timber;Mha/yr;;;M;
Forest Area Change|Forest Expansion|Planted|Plantation|Re/Afforestation;million ha/yr;3;Annual gross expansion of carbon plantation area through reforestation and/or afforestation with monoculture and/or non-native species;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain|Planted|Plantation|+|CO2-price AR;Mha/yr;;;M;
Forest Area Change|Forest Expansion|Planted|Plantation|Timber;million ha/yr;3;Annual gross expansion of timber plantation area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain|Planted|Plantation|+|Timber;Mha/yr;;;M;
Forest Area Change|Forest Expansion|Secondary;million ha/yr;3;Annual gross expansion of secondary forest area;This variable should be computed as yearly average change between the previous and the current reported time step.;Resources|GrossForestGain|+|Secondary;Mha/yr;;;M;
Forestry Demand|Roundwood;million m3/yr;1;Total roundwood demand;;Timber|Volumetric|Demand|+|Roundwood;Mm3/yr;;;M;
Forestry Demand|Roundwood|Industrial Roundwood;million m3/yr;2;Demand for industrial roundwood;;Timber|Volumetric|Demand|Roundwood|+|Industrial roundwood;Mm3/yr;;;M;
Forestry Demand|Roundwood|Industrial Roundwood;million m3/yr;2;Demand for industrial roundwood;;Timber|Volumetric|Demand|Roundwood|+|Timber for construction;Mm3/yr;;;M;
Forestry Demand|Roundwood|Wood Fuel;million m3/yr;2;Demand for wood fuel;;Timber|Volumetric|Demand|Roundwood|+|Wood fuel;Mm3/yr;;;M;
Forestry Production|Roundwood;million m3/yr;1;Total roundwood production;;Timber|Volumetric|Production|+|Roundwood;Mm3/yr;;;M;
Forestry Production|Roundwood|Industrial Roundwood;million m3/yr;2;Prodution of industrial roundwood;;Timber|Volumetric|Production|Roundwood|+|Industrial roundwood;Mm3/yr;;;M;
Forestry Production|Roundwood|Industrial Roundwood;million m3/yr;2;Prodution of industrial roundwood;;Timber|Volumetric|Production|Roundwood|+|Timber for construction;Mm3/yr;;;M;
Forestry Production|Roundwood|Wood Fuel;million m3/yr;2;Prodution of wood fuel;;Timber|Volumetric|Production|Roundwood|+|Wood fuel;Mm3/yr;;;M;
