idx;tier;category;variable;unit;piam_variable;piam_unit;piam_factor;internal_comment;comment;description;source
56;2;carbon management;Carbon Capture|Biomass|Energy|Supply|Liquids;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Biomass|Liquids w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in liquid fuel production (part of IPCC category 1A), should be reported as positive numbers;R
57;2;carbon management;Carbon Capture|Biomass|Energy|Supply|Other;Mt CO2/yr;;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in other energy supply (part of IPCC category 1A), should be reported as positive numbers;
58;2;carbon management;Carbon Capture|Fossil|Energy|Demand|Industry;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Industry|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in industry (IPCC category 1A2), should be reported as positive numbers;R
59;2;carbon management;Carbon Capture|Fossil|Energy|Supply;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in energy supply (IPCC category 1A), should be reported as positive numbers;R
60;2;carbon management;Carbon Capture|Fossil|Energy|Supply|Electricity;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Fossil|Electricity w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in electricity production (part of IPCC category 1A1a), should be reported as positive numbers;R
61;2;carbon management;Carbon Capture|Fossil|Energy|Supply|Gases;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Fossil|Gases w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in gaseous fuel production, excl. hydrogen (part of IPCC category 1A), should be reported as positive numbers;R
62;2;carbon management;Carbon Capture|Fossil|Energy|Supply|Hydrogen;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Fossil|Hydrogen w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in hydrogen production (part of IPCC category 1A), should be reported as positive numbers;R
63;2;carbon management;Carbon Capture|Fossil|Energy|Supply|Liquids;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Fossil|Liquids w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in liquid fuel production (part of IPCC category 1A), should be reported as positive numbers;R
64;2;carbon management;Carbon Capture|Fossil|Energy|Supply|Other;Mt CO2/yr;;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in other energy supply (part of IPCC category 1A), should be reported as positive numbers;
65;2;carbon management;Carbon Capture|Direct Air Capture;Mt CO2/yr;Carbon Management|Carbon Capture|+|DAC;Mt CO2/yr;;;;total carbon dioxide captured through direct air capture;R
66;2;carbon management;Carbon Capture|Other;Mt CO2/yr;Carbon Management|Carbon Capture|Waste|Plastics Incineration;Mt CO2/yr;;;carbon dioxide capture through plastics incineration;total carbon dioxide captured through other techniques (please provide a definition of other sources in this category in the 'comments' tab);R
;2;carbon management;Carbon Capture|Leakage;Mt CO2/yr;Carbon Management|Venting of Captured Carbon;Mt CO2/yr;;;;Captured carbon dioxide (CO2) that is subsequently vented, leaked, or reemitted during or after transmission to storage repositories;R
67;2;carbon management;Carbon Capture|Storage;Mt CO2/yr;Carbon Management|Storage;Mt CO2/yr;;;;total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
68;2;carbon management;Carbon Capture|Storage|Biomass;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
68;2;carbon management;Carbon Capture|Storage|Biomass;Mt CO2/yr;Carbon Management|Storage|Energy|Industry|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
68;2;carbon management;Carbon Capture|Storage|Biomass;Mt CO2/yr;Carbon Management|Storage|Waste|+|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
69;2;carbon management;Carbon Capture|Storage|Fossil;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
69;2;carbon management;Carbon Capture|Storage|Fossil;Mt CO2/yr;Carbon Management|Storage|Energy|Industry|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
69;2;carbon management;Carbon Capture|Storage|Fossil;Mt CO2/yr;Carbon Management|Storage|Waste|+|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
;2;carbon management;Carbon Capture|Storage|Electricity;Mt CO2/yr;Carbon Management|Storage|Energy|Industry|Synfuel;Mt CO2/yr;;;;total carbon dioxide emissions captured from hydrogen or synthetic fuel use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
70;2;carbon management;Carbon Capture|Storage|Industrial Processes;Mt CO2/yr;Carbon Management|Storage|Industrial Processes|Industry;Mt CO2/yr;;;;total carbon dioxide emissions captured from industrial processes (e.g., cement production, but not from fossil fuel burning) use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
71;2;carbon management;Carbon Capture|Storage|Biomass|Energy|Demand|Industry;Mt CO2/yr;Carbon Management|Storage|Energy|Industry|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
72;2;carbon management;Carbon Capture|Storage|Biomass|Energy|Supply;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
73;2;carbon management;Carbon Capture|Storage|Biomass|Energy|Supply|Electricity;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Biomass|Electricity w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
74;2;carbon management;Carbon Capture|Storage|Biomass|Energy|Supply|Gases;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Biomass|Gases w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in gaseous fuel production, excl. hydrogen (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
75;2;carbon management;Carbon Capture|Storage|Biomass|Energy|Supply|Hydrogen;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Biomass|Hydrogen w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
76;2;carbon management;Carbon Capture|Storage|Biomass|Energy|Supply|Liquids;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Biomass|Liquids w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
77;2;carbon management;Carbon Capture|Storage|Biomass|Energy|Supply|Other;Mt CO2/yr;;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in other energy supply (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;
78;2;carbon management;Carbon Capture|Storage|Fossil|Energy|Demand|Industry;Mt CO2/yr;Carbon Management|Storage|Energy|Industry|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
79;2;carbon management;Carbon Capture|Storage|Fossil|Energy|Supply;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in energy supply (IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
80;2;carbon management;Carbon Capture|Storage|Fossil|Energy|Supply|Electricity;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Fossil|Electricity w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
81;2;carbon management;Carbon Capture|Storage|Fossil|Energy|Supply|Gases;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Fossil|Gases w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in gaseous fuel production, excl. hydrogen (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
82;2;carbon management;Carbon Capture|Storage|Fossil|Energy|Supply|Hydrogen;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Fossil|Hydrogen w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
83;2;carbon management;Carbon Capture|Storage|Fossil|Energy|Supply|Liquids;Mt CO2/yr;Carbon Management|Storage|Energy|Pe2Se|Fossil|Liquids w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;R
84;2;carbon management;Carbon Capture|Storage|Fossil|Energy|Supply|Other;Mt CO2/yr;;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use in other energy supply (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;
85;2;carbon management;Carbon Capture|Storage|Direct Air Capture;Mt CO2/yr;Carbon Management|Storage|+|DAC;Mt CO2/yr;;;;total carbon dioxide sequestered through direct air capture;R
