variable;unit;tier;description;comment;weight;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Agricultural Demand|Crops|Feed;million t DM/yr;2;Demand for feed crops;;;Demand|Feed|+|Crops;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Feed;million t DM/yr;2;Demand for feed crops;;;Demand|Feed|+|Secondary products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Feed|Cereals;million t DM/yr;3;Demand for feed crops - cereals (maize, rice, temperate cereals and tropical cereals);;;Demand|Feed|Crops|+|Cereals;Mt DM/yr;;;M;
Agricultural Demand|Crops|Feed|Cereals;million t DM/yr;3;Demand for feed crops - cereals (maize, rice, temperate cereals and tropical cereals);;;Demand|Feed|Secondary products|+|Brans;Mt DM/yr;;;M;
Agricultural Demand|Crops|Feed|Cereals;million t DM/yr;3;Demand for feed crops - cereals (maize, rice, temperate cereals and tropical cereals);;;Demand|Feed|Secondary products|+|Distillers grains;Mt DM/yr;;;M;
Agricultural Demand|Crops|Feed|Oil Crops;million t DM/yr;3;Demand for feed crops - oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower);;;Demand|Feed|Crops|+|Oil crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Feed|Oil Crops;million t DM/yr;3;Demand for feed crops - oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower);;;Demand|Feed|Secondary products|+|Oils;Mt DM/yr;;;M;
Agricultural Demand|Crops|Feed|Oil Crops;million t DM/yr;3;Demand for feed crops - oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower);;;Demand|Feed|Secondary products|+|Oilcakes;Mt DM/yr;;;M;
Agricultural Demand|Crops|Feed|Other Crops;million t DM/yr;3;Demand for feed crops - other crops (fruits, vegetables, nuts, potatoes, pulses, tropical roots);;;Demand|Food|Crops|+|Other crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Feed|Sugar Crops;million t DM/yr;3;Demand for feed crops - sugar crops (sugar beet, sugar cane);;;Demand|Feed|Crops|+|Sugar crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Feed|Sugar Crops;million t DM/yr;3;Demand for feed crops - sugar crops (sugar beet, sugar cane);;;Demand|Feed|Secondary products|+|Molasses;Mt DM/yr;;;M;
Agricultural Demand|Crops|Feed|Sugar Crops;million t DM/yr;3;Demand for feed crops - sugar crops (sugar beet, sugar cane);;;Demand|Feed|Secondary products|+|Sugar;Mt DM/yr;;;M;
Agricultural Demand|Crops|Food;million t DM/yr;2;Demand for food crops;;;Demand|Food|+|Crops;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Food;million t DM/yr;2;Demand for food crops;;;Demand|Food|+|Secondary products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Food|Cereals;million t DM/yr;3;Demand for food crops - cereals (maize, rice, temperate cereals and tropical cereals);;;Demand|Food|Crops|+|Cereals;Mt DM/yr;;;M;
Agricultural Demand|Crops|Food|Cereals;million t DM/yr;3;Demand for food crops - cereals (maize, rice, temperate cereals and tropical cereals);;;Demand|Food|Secondary products|+|Alcoholic beverages;Mt DM/yr;;;M;
Agricultural Demand|Crops|Food|Cereals;million t DM/yr;3;Demand for food crops - cereals (maize, rice, temperate cereals and tropical cereals);;;Demand|Food|Secondary products|+|Brans;Mt DM/yr;;;M;
Agricultural Demand|Crops|Food|Oil Crops;million t DM/yr;3;Demand for food crops - oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower);;;Demand|Food|Crops|+|Oil crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Food|Oil Crops;million t DM/yr;3;Demand for food crops - oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower);;;Demand|Food|Secondary products|+|Oils;Mt DM/yr;;;M;
Agricultural Demand|Crops|Food|Other Crops;million t DM/yr;3;Demand for food crops - other crops (fruits, vegetables, nuts, potatoes, pulses, tropical roots);;;Demand|Food|Crops|+|Other crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Food|Sugar Crops;million t DM/yr;3;Demand for food crops - sugar crops (sugar beet, sugar cane);;;Demand|Food|Crops|+|Sugar crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Food|Sugar Crops;million t DM/yr;3;Demand for food crops - sugar crops (sugar beet, sugar cane);;;Demand|Food|Secondary products|+|Sugar;Mt DM/yr;;;M;
Agricultural Demand|Crops|Food|Sugar Crops;million t DM/yr;3;Demand for food crops - sugar crops (sugar beet, sugar cane);;;Demand|Food|Secondary products|+|Molasses;Mt DM/yr;;;M;
Agricultural Demand|Crops|Other;million t DM/yr;2;Demand for crops for other uses;;;Demand|Agricultural Supply Chain Loss|+|Crops;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Other;million t DM/yr;2;Demand for crops for other uses;;;Demand|Domestic Balanceflow|+|Crops;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Other;million t DM/yr;2;Demand for crops for other uses;;;Demand|Material|+|Crops;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Other;million t DM/yr;2;Demand for crops for other uses;;;Demand|Seed|+|Crops;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Other;million t DM/yr;2;Demand for crops for other uses;;;Demand|Material|+|Secondary products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Other;million t DM/yr;2;Demand for crops for other uses;;;Demand|Agricultural Supply Chain Loss|+|Secondary products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Other;million t DM/yr;2;Demand for crops for other uses;;;Demand|Domestic Balanceflow|+|Secondary products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Livestock;million t DM/yr;1;Demand for livestock products (excluding fish);;;Demand|++|Livestock products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Livestock|Feed;million t DM/yr;2;Demand for livestock products used as feed (excluding fish);;;Demand|Feed|+|Livestock products;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food;million t DM/yr;2;Demand for livestock products used as food (excluding fish);;;Demand|Food|+|Livestock products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Livestock|Food|Non-Ruminant;million t DM/yr;3;Demand for livestock products used as food - monogastric meat (pig, poultry) and eggs;;;Demand|Food|Livestock products|+|Monogastric meat;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Non-Ruminant;million t DM/yr;3;Demand for livestock products used as food - monogastric meat (pig, poultry) and eggs;;;Demand|Food|Livestock products|+|Poultry meat;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Non-Ruminant;million t DM/yr;3;Demand for livestock products used as food - monogastric meat (pig, poultry) and eggs;;;Demand|Food|Livestock products|+|Eggs;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Non-Ruminant|Eggs;million t DM/yr;3;Demand for livestock products used as food - eggs;;;Demand|Food|Livestock products|+|Eggs;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Non-Ruminant|Meat;million t DM/yr;3;Demand for livestock products used as food - monogastric meat (pig, poultry);;;Demand|Food|Livestock products|+|Monogastric meat;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Non-Ruminant|Meat;million t DM/yr;3;Demand for livestock products used as food - monogastric meat (pig, poultry);;;Demand|Food|Livestock products|+|Poultry meat;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Non-Ruminant|Meat|Pig;million t DM/yr;3;Demand for livestock products used as food - pig meat;;;Demand|Food|Livestock products|+|Monogastric meat;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Non-Ruminant|Meat|Poultry;million t DM/yr;3;Demand for livestock products used as food - poultry meat;;;Demand|Food|Livestock products|+|Poultry meat;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Ruminant;million t DM/yr;3;Demand for livestock products used as food - ruminant meat (cattle, goat, sheep) and dairy products (milk, cheese);;;Demand|Food|Livestock products|+|Ruminant meat;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Ruminant;million t DM/yr;3;Demand for livestock products used as food - ruminant meat (cattle, goat, sheep) and dairy products (milk, cheese);;;Demand|Food|Livestock products|+|Dairy;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Ruminant|Dairy;million t DM/yr;3;Demand for livestock products used as food - dairy products (milk, cheese);;;Demand|Food|Livestock products|+|Dairy;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Food|Ruminant|Meat;million t DM/yr;3;Demand for livestock products used as food - ruminant meat (cattle, goat, sheep);;;Demand|Food|Livestock products|+|Ruminant meat;Mt DM/yr;;;M;
Agricultural Demand|Livestock|Other;million t DM/yr;2;Demand for livestock products for other uses;;;Demand|Agricultural Supply Chain Loss|+|Livestock products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Livestock|Other;million t DM/yr;2;Demand for livestock products for other uses;;;Demand|Bioenergy|+|Livestock products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Livestock|Other;million t DM/yr;2;Demand for livestock products for other uses;;;Demand|Domestic Balanceflow|+|Livestock products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Livestock|Other;million t DM/yr;2;Demand for livestock products for other uses;;;Demand|Material|+|Livestock products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Livestock|Other;million t DM/yr;2;Demand for livestock products for other uses;;;Demand|Seed|+|Livestock products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Residues;million t DM/yr;2;Demand for residues from agricultural production for feed, bioenergy and other uses;;;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;M;
Agricultural Demand|Residues;million t DM/yr;2;Demand for residues from agricultural production for feed, bioenergy and other uses;;;Demand|Feed|+|Crop residues;Mt DM/yr;;;M;
Agricultural Demand|Residues;million t DM/yr;2;Demand for residues from agricultural production for feed, bioenergy and other uses;;;Demand|Material|+|Crop residues;Mt DM/yr;;;M;
Agricultural Demand|Residues|Bioenergy;million t DM/yr;2;Demand for residues as bioenergy;;;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;M;
Agricultural Demand|Residues|Feed;million t DM/yr;2;Demand for residues as feed;;;Demand|Feed|+|Crop residues;Mt DM/yr;;;M;
Agricultural Demand|Residues|Other;million t DM/yr;2;Demand of residues for other uses;;;Demand|Feed|+|Crop residues;Mt DM/yr;;;M;
Agricultural Material Footprint [per capita];tDM/cap/yr;;Biomass usage per capita excluding pasture and forestry;;Population;SDG|SDG12|Material footprint;tDM/capita/yr;;additional mapping taken from additional_SHAPE;M;
Agricultural Production;million t DM/yr;1;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;;Production|+|Crops;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Production;million t DM/yr;1;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;;Production|+|Livestock products;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Production;million t DM/yr;1;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;;Production|+|Bioenergy crops;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Production;million t DM/yr;1;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Production;million t DM/yr;1;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;;Demand|Feed|+|Crop residues;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Production;million t DM/yr;1;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;;Demand|Material|+|Crop residues;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Production|Crops;million t DM/yr;1;Production of crops;;;Production|+|Crops;Mt DM/yr;;;M;
Agricultural Production|Crops|Cereals;million t DM/yr;2;Production of cereals (maize, rice, temperate cereals and tropical cereals);;;Production|Crops|+|Cereals;Mt DM/yr;;;M;
Agricultural Production|Crops|Energy Crops;million t DM/yr;2;Production of second-generation bioenergy crops (short rotation grasses, short rotation trees);;;Production|+|Bioenergy crops;Mt DM/yr;;;M;
Agricultural Production|Crops|Oil Crops;million t DM/yr;2;Production of oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower);;;Production|Crops|+|Oil crops;Mt DM/yr;;;M;
Agricultural Production|Crops|Other Crops;million t DM/yr;2;Production of other crops (fruits, vegetables, nuts, potatoes, pulses, tropical roots);;;Production|Crops|+|Other crops;Mt DM/yr;;;M;
Agricultural Production|Crops|Sugar Crops;million t DM/yr;2;Production of sugar crops (sugar beet, sugar cane);;;Production|Crops|+|Sugar crops;Mt DM/yr;;;M;
Agricultural Production|Livestock;million t DM/yr;1;Production of livestock products (excluding fish);;;Production|+|Livestock products;Mt DM/yr;;;M;
Agricultural Production|Livestock|Non-Ruminant;million t DM/yr;2;Production of monogastric meat (pig, poultry) and eggs;;;Production|Livestock products|+|Monogastric meat;Mt DM/yr;;;M;
Agricultural Production|Livestock|Non-Ruminant;million t DM/yr;2;Production of monogastric meat (pig, poultry) and eggs;;;Production|Livestock products|+|Poultry meat;Mt DM/yr;;;M;
Agricultural Production|Livestock|Non-Ruminant;million t DM/yr;2;Production of monogastric meat (pig, poultry) and eggs;;;Production|Livestock products|+|Eggs;Mt DM/yr;;;M;
Agricultural Production|Livestock|Non-Ruminant|Eggs;million t DM/yr;2;Production of eggs;;;Production|Livestock products|+|Eggs;Mt DM/yr;;;M;
Agricultural Production|Livestock|Non-Ruminant|Meat;million t DM/yr;2;Production of monogastric meat (pig, poultry);;;Production|Livestock products|+|Monogastric meat;Mt DM/yr;;;M;
Agricultural Production|Livestock|Non-Ruminant|Meat;million t DM/yr;2;Production of monogastric meat (pig, poultry);;;Production|Livestock products|+|Poultry meat;Mt DM/yr;;;M;
Agricultural Production|Livestock|Non-Ruminant|Meat|Pig;million t DM/yr;2;Production of pig meat;;;Production|Livestock products|+|Monogastric meat;Mt DM/yr;;;M;
Agricultural Production|Livestock|Non-Ruminant|Meat|Poultry;million t DM/yr;2;Production of poultry meat;;;Production|Livestock products|+|Poultry meat;Mt DM/yr;;;M;
Agricultural Production|Livestock|Ruminant;million t DM/yr;2;Production of ruminant meat (cattle, goat, sheep) and dairy products (milk, cheese);;;Production|Livestock products|+|Ruminant meat;Mt DM/yr;;;M;
Agricultural Production|Livestock|Ruminant;million t DM/yr;2;Production of ruminant meat (cattle, goat, sheep) and dairy products (milk, cheese);;;Production|Livestock products|+|Dairy;Mt DM/yr;;;M;
Agricultural Production|Livestock|Ruminant|Dairy;million t DM/yr;2;Production of dairy products (milk, cheese);;;Production|Livestock products|+|Dairy;Mt DM/yr;;;M;
Agricultural Production|Livestock|Ruminant|Meat;million t DM/yr;2;Production of ruminant meat (cattle, goat, sheep);;;Production|Livestock products|+|Ruminant meat;Mt DM/yr;;;M;
Agricultural Production|Residues;million t DM/yr;2;Harvested agricultural residues;A large share of residues usually remains on the field.;;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;M;
Agricultural Production|Residues;million t DM/yr;2;Harvested agricultural residues;A large share of residues usually remains on the field.;;Demand|Feed|+|Crop residues;Mt DM/yr;;;M;
Agricultural Production|Residues;million t DM/yr;2;Harvested agricultural residues;A large share of residues usually remains on the field.;;Demand|Material|+|Crop residues;Mt DM/yr;;;M;
Air Pollution|PM2.5|Urban Population;ug/m3;;Urban population weighted annual average PM2.5 concentrations.;;Population|Urban;Air pollution concentration|PM2_5|Urban population;ug/m3;;mapping taken from SHAPE;S;
Capacity Additions|Electricity;GW/yr;2;Total annual new installation of electricity generation capacity;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity;GW/yr;1;;R;
Capacity Additions|Electricity|Ammonia;GW/yr;2;Annual new installation of capacity to generate electricity from ammonia;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Biomass;GW/yr;2;Annual new installation of capacity to generate electricity from purpose-grown bioenergy crops, biogas, crop and forestry residue, municipal solid waste bioenergy and traditional biomass;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Biomass;GW/yr;;;R;
Capacity Additions|Electricity|Biomass|w/ CCS;GW/yr;2;Annual new installation of capacity to generate electricity from purpose-grown bioenergy crops, biogas, crop and forestry residue, municipal solid waste bioenergy and traditional biomass in combination with carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|Biomass|w/ CC;GW/yr;;;R;
Capacity Additions|Electricity|Biomass|w/o CCS;GW/yr;2;Annual new installation of capacity to generate electricity from purpose-grown bioenergy crops, biogas, crop and forestry residue, municipal solid waste bioenergy and traditional biomass without carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|Biomass|w/o CC;GW/yr;;;R;
Capacity Additions|Electricity|Coal;GW/yr;2;Annual new installation of capacity to generate electricity from coal including lignite;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Coal;GW/yr;;;R;
Capacity Additions|Electricity|Coal|w/ CCS;GW/yr;2;Annual new installation of capacity to generate electricity from coal including lignite in combination with carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|Coal|+|w/ CC;GW/yr;;;R;
Capacity Additions|Electricity|Coal|w/o CCS;GW/yr;2;Annual new installation of capacity to generate electricity from coal including lignite without carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|Coal|+|w/o CC;GW/yr;;;R;
Capacity Additions|Electricity|Fossil;GW/yr;2;Annual new installation of capacity to generate electricity from fossil fuels including coal, natural gas and conventional/unconventional oil;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Fossil|w/ CCS;GW/yr;2;Annual new installation of capacity to generate electricity from fossil fuels including coal, natural gas and conventional/unconventional oil in combination with carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Fossil|w/o CCS;GW/yr;2;Annual new installation of capacity to generate electricity from fossil fuels including coal, natural gas and conventional/unconventional oil without carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Gas;GW/yr;2;Annual new installation of capacity to generate electricity from natural gas (fossil methane);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Gas;GW/yr;;;R;
Capacity Additions|Electricity|Gas|w/ CCS;GW/yr;2;Annual new installation of capacity to generate electricity from natural gas (fossil methane) in combination with carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|Gas|+|w/ CC;GW/yr;;;R;
Capacity Additions|Electricity|Gas|w/o CCS;GW/yr;2;Annual new installation of capacity to generate electricity from natural gas (fossil methane) without carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|Gas|+|w/o CC;GW/yr;;;R;
Capacity Additions|Electricity|Geothermal;GW/yr;2;Annual new installation of capacity to generate electricity from geothermal sources;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Geothermal;GW/yr;;;R;
Capacity Additions|Electricity|Hydro;GW/yr;2;Annual new installation of capacity to generate electricity from hydropower;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Hydro;GW/yr;;;R;
Capacity Additions|Electricity|Hydrogen;GW/yr;2;Annual new installation of capacity to generate electricity from hydrogen;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Hydrogen;GW/yr;1;;R;
Capacity Additions|Electricity|Non-Biomass Renewables;GW/yr;2;Annual new installation of capacity to generate electricity from hydro, wind, solar, geothermal, ocean, and other renewable sources excluding biomass;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Nuclear;GW/yr;2;Annual new installation of capacity to generate electricity from nuclear power;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Nuclear;GW/yr;;;R;
Capacity Additions|Electricity|Ocean;GW/yr;2;Annual new installation of capacity to generate electricity from oceans;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Oil;GW/yr;2;Annual new installation of capacity to generate electricity from conventional and unconventional crude oil in combination with carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Oil;GW/yr;;;R;
Capacity Additions|Electricity|Oil|w/ CCS;GW/yr;2;Annual new installation of capacity to generate electricity from conventional and unconventional crude oil in combination with carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Oil|w/o CCS;GW/yr;2;Annual new installation of capacity to generate electricity from conventional and unconventional crude oil without carbon capture and storage (CCS);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Oil;GW/yr;1;;R;
Capacity Additions|Electricity|Other;GW/yr;2;Annual new installation of capacity to generate electricity from sources that do not fit any other category;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Solar;GW/yr;2;Annual new installation of capacity to generate electricity from solar energy;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Solar;GW/yr;;;R;
Capacity Additions|Electricity|Solar|CSP;GW/yr;2;Annual new installation of capacity to generate electricity from utility-scale concentrated solar power (CSP);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|Solar|+|CSP;GW/yr;;;R;
Capacity Additions|Electricity|Solar|PV;GW/yr;2;Annual new installation of capacity to generate electricity from photovoltaics (PV);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|Solar|+|PV;GW/yr;;;R;
Capacity Additions|Electricity|Solar|PV|Agri-PV;GW/yr;3;Annual new installation of capacity to generate electricity from photovoltaics (PV) on agricultural land (mixed use);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Solar|PV|Commercial;GW/yr;3;Annual new installation of capacity to generate electricity from commercial rooftop photovoltaics (PV);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Solar|PV|Floating;GW/yr;3;Annual new installation of capacity to generate electricity from photovoltaics (PV) on water;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Solar|PV|Open Land;GW/yr;3;Annual new installation of capacity to generate electricity from photovoltaics (PV) on open land (no mixed use);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Solar|PV|Other;GW/yr;3;Annual new installation of capacity to generate electricity from other types of photovoltaics (PV);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Solar|PV|Residential;GW/yr;3;Annual new installation of capacity to generate electricity from residential rooftop photovoltaics (PV);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Electricity|Wind;GW/yr;2;Annual new installation of capacity to generate electricity from wind power;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|+|Wind;GW/yr;;;R;
Capacity Additions|Electricity|Wind|Offshore;GW/yr;2;Annual new installation of capacity to generate electricity from offshore wind power;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|Wind|+|Offshore;GW/yr;;;R;
Capacity Additions|Electricity|Wind|Onshore;GW/yr;2;Annual new installation of capacity to generate electricity from onshore wind power;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Electricity|Wind|+|Onshore;GW/yr;;;R;
Capacity Additions|Gases;GW/yr;2;Total annual new capacity installation to produce gaseous fuels including natural gas and biogas, not including hydrogen;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Gases|Biomass;GW/yr;3;Total annual new capacity installation to produce gaseous fuels from biogenic sources, mainly biogas;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Gases|+|Biomass;GW/yr;1;;R;
Capacity Additions|Gases|Coal;GW/yr;3;Total annual new capacity installation to produce gaseous fuels from fossil coal gasification;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Gases|Electricity;GW/yr;3;Total annual new capacity installation to produce gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Gases|Fossil;GW/yr;3;Total annual new capacity installation to produce gaseous fuels from fossil fuels including natural gas and coal;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Gases|Gas;GW/yr;3;Total annual new capacity installation to produce fossil methane ('natural gas');This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
