X;CountryCode;RegionCode
Faroe Islands;FRO;Europe
Finland;FIN;Europe
Guernsey;GGY;Europe
Iceland;ISL;Europe
Ireland;IRL;Europe
Isle of Man;IMN;Europe
Jersey;JEY;Europe
Latvia;LVA;Europe
Lithuania;LTU;Europe
Norway;NOR;Europe
Sweden;SWE;Europe
United Kingdom;GBR;Europe
Albania;ALB;Europe
Andorra;AND;Europe
Bosnia and Herzegovina;BIH;Europe
Croatia;HRV;Europe
Gibraltar;GIB;Europe
Greece;GRC;Europe
Holy See;VAT;Europe
Italy;ITA;Europe
Kosovo (under UNSC res. 1244);XKX;Europe
Malta;MLT;Europe
Montenegro;MNE;Europe
North Macedonia;MKD;Europe
Portugal;PRT;Europe
San Marino;SMR;Europe
Serbia;SRB;Europe
Slovenia;SVN;Europe
Spain;ESP;Europe
Austria;AUT;Europe
Belgium;BEL;Europe
France;FRA;Europe
Germany;DEU;Europe
Liechtenstein;LIE;Europe
Luxembourg;LUX;Europe
Monaco;MCO;Europe
Netherlands;NLD;Europe
Switzerland;CHE;Europe
Mexico;MEX;North America
Canada;CAN;North America
Greenland;GRL;North America
Saint Pierre and Miquelon;SPM;North America
United States of America;USA;North America
Belize;BLZ;Small Islands
Bermuda;BMU;Small Islands
Cabo Verde;CPV;Small Islands
Comoros;COM;Small Islands
Guinea-Bissau;GNB;Small Islands
Guyana;GUY;Small Islands
Maldives;MDV;Small Islands
Mauritius;MUS;Small Islands
Sao Tome and Principe;STP;Small Islands
Seychelles;SYC;Small Islands
Singapore;SGP;Small Islands
Suriname;SUR;Small Islands
Timor-Leste;TLS;Small Islands
Anguilla;AIA;Small Islands
Antigua and Barbuda;ATG;Small Islands
Aruba;ABW;Small Islands
Bahamas;BHS;Small Islands
Barbados;BRB;Small Islands
British Virgin Islands;VGB;Small Islands
Cayman Islands;CYM;Small Islands
Cuba;CUB;Small Islands
Curaçao;CUW;Small Islands
Dominica;DMA;Small Islands
Dominican Republic;DOM;Small Islands
Grenada;GRD;Small Islands
Guadeloupe;GLP;Small Islands
Haiti;HTI;Small Islands
Jamaica;JAM;Small Islands
Martinique;MTQ;Small Islands
Montserrat;MSR;Small Islands
Puerto Rico;PRI;Small Islands
Saint Kitts and Nevis;KNA;Small Islands
Saint Lucia;LCA;Small Islands
Saint Vincent and the Grenadines;VCT;Small Islands
Sint Maarten (Dutch part);SXM;Small Islands
Trinidad and Tobago;TTO;Small Islands
Turks and Caicos Islands;TCA;Small Islands
United States Virgin Islands;VIR;Small Islands
American Samoa;ASM;Small Islands
Cook Islands;COK;Small Islands
Fiji;FJI;Small Islands
French Polynesia;PYF;Small Islands
Guam;GUM;Small Islands
Kiribati;KIR;Small Islands
Marshall Islands;MHL;Small Islands
Micronesia (Fed. States of);FSM;Small Islands
Nauru;NRU;Small Islands
New Caledonia;NCL;Small Islands
Niue;NIU;Small Islands
Northern Mariana Islands;MNP;Small Islands
Palau;PLW;Small Islands
Papua New Guinea;PNG;Small Islands
Samoa;WSM;Small Islands
Solomon Islands;SLB;Small Islands
Tokelau;TKL;Small Islands
Tonga;TON;Small Islands
Tuvalu;TUV;Small Islands
Vanuatu;VUT;Small Islands
Wallis and Futuna Islands;WLF;Small Islands
Russian Federation (Asian part);RUS;Asia
